hpg_store_id,air_store_id,latitude,longitude,genre,area_name,ll_cluster
hpg_6622b62385aec8bf,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_e9e068dd49c5fa00,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_2976f7acb4b3a3bc,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_e51a522e098f024c,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_e3d0e1519894f275,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_530cd91db13b938e,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_02457b318e186fa4,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_0cb3c2c490020a29,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_3efe9b08c887fe9a,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_765e8d3ba261dc1c,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_46b3935373e2a576,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_d02653e1cec8034d,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_ae7df991ba2f21ee,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_5f606bd0a074570e,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_c846b79f7170baf2,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_6ab187222a3c9ea2,0,35.6436746642265,139.668220854814,japanese style,Tōkyō-to Setagaya-ku Taishidō,0
hpg_8a67276f1608d544,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_1a1c7f48b809e84b,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_b19c264d78431857,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_f460793514dad711,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_bcb6dd8efee30249,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_9630a2129b625d89,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_a7b8fbd9e2926703,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_a7407b2899c77f4c,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_eb440c0d5a6df068,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_a6a0ccb587ff39b0,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_ff3a82aaa7e3c9b5,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_5fee5882a0a44c43,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_410a53a536b434c9,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_e4641edebaf8eaec,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_e5e6b5a501a943bf,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_883a4948bd0f87d2,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_71d8749961f7a6bc,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_c6355f651b0c7d0e,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_b7eeae4f7f3635af,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_dbdd4daed48b4b52,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_66182db52d8ec092,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_1df6187b5e46ca16,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_73a7af9b14f24870,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_a839d1baa9ba3266,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_69404182aa9be0d3,0,34.8299255519268,134.67307503026,japanese style,Hyōgo-ken Himeji-shi Tsuchiyama,1
hpg_51cc74b3132f9745,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_b5d631527bdfdbdc,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_d33cccb80e92bbab,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_34263ca5a633c1e3,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_85c85ebabfe92846,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_8d3515bfbe075d85,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_e58d120128b10456,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_46df5857b277e1d5,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_d60f692afbf054e0,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_ec3ba0ea98a683f4,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_520daa540b1db4de,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_f0f3486719722500,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_d33c2a1bf4dfd15e,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_44c8c32f039ab368,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_a234a07eaa9318a4,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_12bccc4fc5f10cfd,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_2064c1bb8fd36f99,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_2b500fcd37208d65,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_399a3fb840f18f2d,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_02480b0c4f9e21ea,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_dd2f97d75ea6474e,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_c3ff80ce68da1099,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
hpg_56cb48016559a052,0,35.6686002312873,139.76304271092198,japanese style,Tōkyō-to Chūō-ku Ginza,0
