id,visitors
air_00a91d42b08b08d9_2017-04-23,18.82175700849394
air_00a91d42b08b08d9_2017-04-24,17.84973773469824
air_00a91d42b08b08d9_2017-04-25,16.48112584249211
air_00a91d42b08b08d9_2017-04-26,18.620445664367587
air_00a91d42b08b08d9_2017-04-27,21.484209969310204
air_00a91d42b08b08d9_2017-04-28,25.476037501024766
air_00a91d42b08b08d9_2017-04-29,22.76072585826199
air_00a91d42b08b08d9_2017-04-30,20.883090398781
air_00a91d42b08b08d9_2017-05-01,16.606275538991365
air_00a91d42b08b08d9_2017-05-02,25.261873676369625
air_00a91d42b08b08d9_2017-05-03,21.949126729745863
air_00a91d42b08b08d9_2017-05-04,21.00952676606658
air_00a91d42b08b08d9_2017-05-05,15.349994129837565
air_00a91d42b08b08d9_2017-05-06,15.599655382788342
air_00a91d42b08b08d9_2017-05-07,23.3641876721561
air_00a91d42b08b08d9_2017-05-08,12.426104425441316
air_00a91d42b08b08d9_2017-05-09,14.104011382300143
air_00a91d42b08b08d9_2017-05-10,15.849690489168662
air_00a91d42b08b08d9_2017-05-11,16.266367217411585
air_00a91d42b08b08d9_2017-05-12,24.104677736947117
air_00a91d42b08b08d9_2017-05-13,19.305645953220814
air_00a91d42b08b08d9_2017-05-14,22.578692053199717
air_00a91d42b08b08d9_2017-05-15,13.348019398165889
air_00a91d42b08b08d9_2017-05-16,16.427772249234597
air_00a91d42b08b08d9_2017-05-17,18.509351992505056
air_00a91d42b08b08d9_2017-05-18,15.65933987610446
air_00a91d42b08b08d9_2017-05-19,26.251170279803
air_00a91d42b08b08d9_2017-05-20,21.686232655811704
air_00a91d42b08b08d9_2017-05-21,23.590639626846063
air_00a91d42b08b08d9_2017-05-22,15.523479155182743
air_00a91d42b08b08d9_2017-05-23,15.447138139297437
air_00a91d42b08b08d9_2017-05-24,19.751215795035584
air_00a91d42b08b08d9_2017-05-25,17.27996138061448
air_00a91d42b08b08d9_2017-05-26,19.91630330843502
air_00a91d42b08b08d9_2017-05-27,21.008825913807684
air_00a91d42b08b08d9_2017-05-28,27.447062028028824
air_00a91d42b08b08d9_2017-05-29,13.950814532099765
air_00a91d42b08b08d9_2017-05-30,18.273234310812605
air_00a91d42b08b08d9_2017-05-31,16.946440183513026
air_0164b9927d20bcc3_2017-04-23,17.409743853212767
air_0164b9927d20bcc3_2017-04-24,15.082882315831608
air_0164b9927d20bcc3_2017-04-25,14.192564260933283
air_0164b9927d20bcc3_2017-04-26,16.237260863583735
air_0164b9927d20bcc3_2017-04-27,19.404699686074416
air_0164b9927d20bcc3_2017-04-28,22.84969303221168
air_0164b9927d20bcc3_2017-04-29,22.298612462003444
air_0164b9927d20bcc3_2017-04-30,22.07688333914023
air_0164b9927d20bcc3_2017-05-01,15.910143179219283
air_0164b9927d20bcc3_2017-05-02,22.23888187574375
air_0164b9927d20bcc3_2017-05-03,21.621796407398826
air_0164b9927d20bcc3_2017-05-04,23.15963770707558
air_0164b9927d20bcc3_2017-05-05,14.0956863399454
air_0164b9927d20bcc3_2017-05-06,17.511924627369076
air_0164b9927d20bcc3_2017-05-07,22.4399608796193
air_0164b9927d20bcc3_2017-05-08,11.193802035388895
air_0164b9927d20bcc3_2017-05-09,11.97663935442531
air_0164b9927d20bcc3_2017-05-10,14.419339500692809
air_0164b9927d20bcc3_2017-05-11,13.735746237806076
air_0164b9927d20bcc3_2017-05-12,21.001916361964483
air_0164b9927d20bcc3_2017-05-13,21.214290779017265
air_0164b9927d20bcc3_2017-05-14,18.70024033446087
air_0164b9927d20bcc3_2017-05-15,11.270709654903092
air_0164b9927d20bcc3_2017-05-16,15.459534657047351
air_0164b9927d20bcc3_2017-05-17,18.12425749560845
air_0164b9927d20bcc3_2017-05-18,16.128054892329924
air_0164b9927d20bcc3_2017-05-19,20.540769025845158
air_0164b9927d20bcc3_2017-05-20,23.094462426561254
air_0164b9927d20bcc3_2017-05-21,20.289829653460252
air_0164b9927d20bcc3_2017-05-22,14.18568028948512
air_0164b9927d20bcc3_2017-05-23,16.411708164858563
