,air_store_id,hpg_store_id,genre,area_name
0,air_0f0cdeee6c9bf3d7,0,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri
1,air_fee8dcf4d619598e,0,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri
2,air_a17f0778617c76e2,0,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri
3,air_83db5aff8f50478e,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
4,air_99c3eae84130c1cb,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
5,air_f183a514cb8ff4fa,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
6,air_6b9fa44a9cf504a1,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
7,air_0919d54f0c9a24b8,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
8,air_2c6c79d597e48096,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
9,air_0164b9927d20bcc3,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
10,air_681f96e6a6595f82,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
11,air_ef920fa6f4b085f6,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
12,air_d3e7b5952cd09ccb,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
13,air_e64de0a6bf0739af,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
14,air_4ce7b17062a1bf73,0,Italian/French,Tōkyō-to Minato-ku Shibakōen
15,air_4579cb0669fd411b,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
16,air_63a750d8b4b6a976,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
17,air_9438d67241c81314,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
18,air_929d8513e3cdb423,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
19,air_6c1128955c58b690,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
20,air_a7404a854919e990,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
21,air_f6cdaf7b7fdc6d78,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
22,air_df9355c47c5df9d3,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
23,air_bf617aa68d5f1cfa,0,Italian/French,Tōkyō-to Setagaya-ku Setagaya
24,air_a218912784bf767d,0,Italian/French,Tōkyō-to Setagaya-ku Setagaya
25,air_506fe758114df773,0,Italian/French,Tōkyō-to Setagaya-ku Setagaya
26,air_0b9038300f8b2b50,0,Italian/French,Tōkyō-to Setagaya-ku Setagaya
27,air_3440e0ea1b70a99b,0,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi
28,air_722297e7f26db91d,0,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi
29,air_d186b2cb0b9ce022,0,Italian/French,Tōkyō-to Shibuya-ku Shibuya
30,air_e76a668009c5dabc,0,Italian/French,Tōkyō-to Shibuya-ku Shibuya
31,air_7fbf7649eb13ad9b,0,Italian/French,Tōkyō-to Shibuya-ku Shibuya
32,air_b439391e72899756,0,Italian/French,Tōkyō-to Shibuya-ku Shibuya
33,air_681b0c56328dd2af,0,Italian/French,Tōkyō-to Shibuya-ku Shibuya
34,air_f911308e19d64236,0,Italian/French,Tōkyō-to Shibuya-ku Shibuya
35,air_650f9b9de0c5542c,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
36,air_632ba66e1f75aa28,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
37,air_9d93d95720f2e831,0,Italian/French,Tōkyō-to Chūō-ku Ginza
38,air_dfe068a1bf85f395,0,Italian/French,Tōkyō-to Chūō-ku Ginza
39,air_ea7c16131980c837,0,Italian/French,Tōkyō-to Chūō-ku Ginza
40,air_97b2a9f975fc702c,0,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō
41,air_40953e2d8b4f2857,0,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō
42,air_c0385db498b391e5,0,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō
43,air_6cbe54f0aa30b615,0,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō
44,air_2a7f14da7fe0f699,0,Italian/French,Tōkyō-to Meguro-ku Kamimeguro
45,air_31c753b48a657b6c,0,Italian/French,Tōkyō-to Meguro-ku Kamimeguro
46,air_483eba479dc9910d,0,Italian/French,Tōkyō-to Meguro-ku Kamimeguro
47,air_9cd5e310f488bced,0,Italian/French,Tōkyō-to Meguro-ku Kamimeguro
48,air_d00a15343325e5f7,0,Italian/French,Ōsaka-fu Suita-shi Izumichō
49,air_228f10bec0bda9c8,0,Italian/French,Ōsaka-fu Suita-shi Izumichō
50,air_8f13ef0f5e8c64dd,0,Italian/French,Tōkyō-to Tachikawa-shi Izumichō
51,air_9d452a881f7f2bb7,0,Italian/French,Fukuoka-ken Fukuoka-shi Hakata Ekimae
52,air_6d65542aa43b598b,0,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirochō
53,air_2c6fef1ce0e13a5a,0,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi
54,air_ca957d3a1529fbd3,0,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi
55,air_d6b3e67261f07646,0,Italian/French,Tōkyō-to Minato-ku Akasaka
56,air_ecf7f141339f1d57,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
57,air_56cd12f31a0afc04,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
58,air_73f316e6a18d8aa9,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
59,air_310e467e6e625004,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
60,air_3b20733899b5287f,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
61,air_d63cfa6d6ab78446,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
62,air_e3020992d5fe5dfd,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
63,air_9152d9926e5c4a3a,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
64,air_1509881b22965b34,0,Italian/French,Tōkyō-to Chūō-ku Tsukiji
65,air_645cb18b33f938cf,0,Italian/French,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike
66,air_a49f1cf0634f13e5,0,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami
67,air_c88467d88b2c8ecd,0,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami
68,air_d1f20424f76cc78e,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
69,air_32f5d7cd696e3c4a,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
70,air_40f6193ea3ed1b91,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
71,air_4092cfbd95a3ac1b,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
72,air_399904bdb7685ca0,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
73,air_baf28ac9f13a307d,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
74,air_2a3743e37aab04b4,0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
75,air_3561fd1c0bce6a95,0,Italian/French,Tōkyō-to Ōta-ku Kamiikedai
76,air_4e1c38f68f435596,0,Italian/French,Tōkyō-to Ōta-ku Kamiikedai
77,air_d54d6fcb116fbed3,0,Italian/French,Hyōgo-ken Nishinomiya-shi Rokutanjichō
78,air_eb2d2653586315dd,0,Italian/French,Hyōgo-ken Nishinomiya-shi Rokutanjichō
79,air_142e78ba7001da9c,0,Italian/French,Hyōgo-ken Nishinomiya-shi Rokutanjichō
80,air_bfafaed35e213fd7,0,Italian/French,Tōkyō-to Meguro-ku Takaban
81,air_fa12b40b02fecfd8,0,Italian/French,Tōkyō-to Meguro-ku Takaban
82,air_35c4732dcbfe31be,0,Dining bar,Hyōgo-ken Kōbe-shi Kumoidōri
83,air_3ac24136722e2291,0,Dining bar,Hyōgo-ken Kōbe-shi Kumoidōri
84,air_cbe139af83feb388,0,Dining bar,Hyōgo-ken Kōbe-shi Kumoidōri
85,air_9ae7081cb77dc51e,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
86,air_2e7cb1f1a2a9cd6a,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
87,air_64d4491ad8cdb1c6,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
88,air_88c8e34baa79217b,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
89,air_6b7678aae65d2d59,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
90,air_87467487d21891dd,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
91,air_ba937bf13d40fb24,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
92,air_c5459218282bedd5,0,Dining bar,Tōkyō-to Minato-ku Shibakōen
93,air_901925b628677c2e,0,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō
94,air_1e665503b8474c55,0,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō
95,air_0585011fa179bcce,0,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō
96,air_e01d99390355408d,0,Dining bar,Tōkyō-to Setagaya-ku Setagaya
97,air_68147db09287bf74,0,Dining bar,Tōkyō-to Setagaya-ku Setagaya
98,air_383f5b2f8d345a49,0,Dining bar,Tōkyō-to Setagaya-ku Setagaya
99,air_7e12c5d27f44a8de,0,Dining bar,Tōkyō-to Setagaya-ku Setagaya
100,air_8b4a46dc521bfcfe,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
101,air_c6aa2efba0ffc8eb,0,Dining bar,Tōkyō-to Adachi-ku Chūōhonchō
102,air_6d64dba2edd4fc0c,0,Dining bar,Tōkyō-to Adachi-ku Chūōhonchō
103,air_dea0655f96947922,0,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi
104,air_81c5dff692063446,0,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi
105,air_dc0e080ba0a5e5af,0,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi
106,air_16c4cfddeb2cf69b,0,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi
107,air_d4d218b451f82c3d,0,Dining bar,Tōkyō-to Shibuya-ku Shibuya
108,air_e1b76fcb5208fb6b,0,Dining bar,Tōkyō-to Shibuya-ku Shibuya
109,air_9f277fb7a2c1d842,0,Dining bar,Tōkyō-to Shibuya-ku Shibuya
110,air_cd5f54969be9ed08,0,Dining bar,Tōkyō-to Shibuya-ku Shibuya
111,air_ab3ae0e410b20069,0,Dining bar,Tōkyō-to Shibuya-ku Shibuya
112,air_bfda7731a6c6fc61,0,Dining bar,Tōkyō-to Suginami-ku Asagayaminami
113,air_df507aec929ce5f6,0,Dining bar,Tōkyō-to Suginami-ku Asagayaminami
114,air_af03c277a167b2bd,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
115,air_43b65e4b05bff2d3,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
116,air_256be208a979e023,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
117,air_fd154088b1de6fa7,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
118,air_1e23210b584540e7,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
119,air_fa4ffc9057812fa2,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
120,air_a21ffca0bea1661a,0,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
121,air_4481a87c1d7c9896,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
122,air_629edf21ea38ac2d,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
123,air_b192fb5310436005,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
124,air_99b01136f451fc0e,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
125,air_bed603c423b7d9d4,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
126,air_0768ab3910f7967f,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
127,air_5b704df317ed1962,0,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
128,air_86f7b2109e4abd65,0,Dining bar,Ōsaka-fu Ōsaka-shi Shinmachi
129,air_1979eaff8189d086,0,Dining bar,Tōkyō-to Tachikawa-shi Izumichō
130,air_0845d8395f30c6bb,0,Dining bar,Tōkyō-to Tachikawa-shi Izumichō
131,air_473f98b212d37b4a,0,Dining bar,Tōkyō-to Tachikawa-shi Izumichō
132,air_20add8092c9bb51d,0,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō
133,air_9a6f6e7f623003d2,0,Dining bar,Fukuoka-ken Kurume-shi Jōnanmachi
134,air_87f9e1024b951f01,0,Dining bar,Fukuoka-ken Kurume-shi Jōnanmachi
135,air_f3602e4fa2f12993,0,Dining bar,Fukuoka-ken Kurume-shi Jōnanmachi
136,air_91beafbba9382b0a,0,Dining bar,Miyagi-ken Sendai-shi Kamisugi
137,air_9efaa7ded03c5a71,0,Dining bar,Miyagi-ken Sendai-shi Kamisugi
138,air_234d3dbf7f3d5a50,0,Dining bar,Tōkyō-to Machida-shi Morino
139,air_f593fa60ac3541e2,0,Dining bar,Tōkyō-to Machida-shi Morino
140,air_57013002b912772b,0,Dining bar,Tōkyō-to Machida-shi Morino
